Split,Model,Precision@1,Recall@1,F1@1,Precision@3,Recall@3,F1@3,Precision@10,Recall@10,F1@10
TimeBased,KNN-msd-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-msd-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-msd-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,KNN-msd-user,0.18421052631578946,0.002156448381301439,0.02288089303967842,0.09356725146198833,0.0025695345403407787,0.019729795990831658,0.041228070175438586,0.003360304776419554,0.01910847855865566
TimeBased,SVD-f50-lr0.005,0.49122807017543857,0.011089480464704546,0.04334112622520741,0.2192982456140349,0.013489786713708452,0.043410460483679476,0.16754385964912283,0.02694482462898941,0.05755198716494579
TimeBased,SVD-f100-lr0.007,0.008771929824561403,0.00035087719298245617,0.07692307692307693,0.15789473684210528,0.010441886100004917,0.039584159542122965,0.11403508771929814,0.02039773335447308,0.04565272155412865
TimeBased,SVD-f30-lr0.01,0.03508771929824561,0.0005918039573246137,0.032472321250632846,0.17836257309941514,0.011843023267978533,0.04161339191176665,0.11578947368421041,0.02055245208448144,0.04517362906296891
UserWise,KNN-cosine-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-cosine-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-cosine-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-cosine-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-cosine-item,0.0,0.0,0.0,0.0005717552887364208,4.791245436338722e-06,0.00554016620498615,0.0003430531732418525,1.7591736975213814e-05,0.009661835748792272
UserWise,KNN-cosine-item,0.0,0.0,0.0,0.0005717552887364208,4.791245436338722e-06,0.00554016620498615,0.0003430531732418525,1.7591736975213814e-05,0.009661835748792272
UserWise,KNN-cosine-item,0.0,0.0,0.0,0.0005717552887364208,4.791245436338722e-06,0.00554016620498615,0.0003430531732418525,1.7591736975213814e-05,0.009661835748792272
UserWise,KNN-cosine-item,0.0,0.0,0.0,0.0005717552887364208,4.791245436338722e-06,0.00554016620498615,0.0003430531732418525,1.7591736975213814e-05,0.009661835748792272
UserWise,KNN-pearson-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0011435105774728416,0.0008744492651262906,0.20952380952380953,0.0010291595197255577,0.00208242244868216,0.12086948139579719
UserWise,KNN-pearson-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0011435105774728416,0.0008744492651262906,0.20952380952380953,0.0010291595197255577,0.00208242244868216,0.12086948139579719
UserWise,KNN-pearson-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0011435105774728416,0.0008744492651262906,0.20952380952380953,0.0010291595197255577,0.00208242244868216,0.12086948139579719
UserWise,KNN-pearson-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0011435105774728416,0.0008744492651262906,0.20952380952380953,0.0010291595197255577,0.00208242244868216,0.12086948139579719
UserWise,KNN-msd-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-msd-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-msd-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,KNN-msd-user,0.0017152658662092624,1.6816332021659437e-05,0.01941747572815534,0.0005717552887364208,1.6816332021659437e-05,0.019047619047619046,0.0003430531732418525,0.0008744492651262906,0.09226190476190477
UserWise,SVD-f50-lr0.005,0.044596912521440824,0.0028438815017476447,0.1135521182245618,0.04288164665523155,0.008736749421055033,0.10761124805838755,0.03516295025728988,0.02000045505125557,0.08825949155661574
UserWise,SVD-f100-lr0.007,0.032590051457975985,0.0024994446910111515,0.13209098787039372,0.03259005145797598,0.006605768214486211,0.11400896126661929,0.0283018867924528,0.017361010630479713,0.08672755198162196
UserWise,SVD-f30-lr0.01,0.0634648370497427,0.003768221980865321,0.10452123096932982,0.04745568896512291,0.007593116194281439,0.09967451548726367,0.03567753001715266,0.01698507750422207,0.08679956504662724
