data_name,model_name,params,silhouette,error
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'cosine'}",-0.1769,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'euclidean'}",0.7199,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'manhattan'}",0.6926,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'cosine'}",-0.2204,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'euclidean'}",0.7177,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'manhattan'}",0.6926,
BoW,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'cosine'}",-0.2357,
BoW,spectral_clustering,"{'k': 4, 'affinity': 'rbf'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 4, 'affinity': 'nearest_neighbors'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 6, 'affinity': 'rbf'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 6, 'affinity': 'nearest_neighbors'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 8, 'affinity': 'rbf'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 8, 'affinity': 'nearest_neighbors'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 10, 'affinity': 'rbf'}",,time limit exceeded
BoW,spectral_clustering,"{'k': 10, 'affinity': 'nearest_neighbors'}",,time limit exceeded
BoW,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 3, 'metric': 'euclidean'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 3, 'metric': 'manhattan'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 8, 'metric': 'euclidean'}",,cannot unpack non-iterable NoneType object
BoW,dbscan_clustering,"{'eps_value': 0.3, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
BoW,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 3, 'metric': 'euclidean'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 3, 'metric': 'manhattan'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 8, 'metric': 'euclidean'}",,cannot unpack non-iterable NoneType object
BoW,dbscan_clustering,"{'eps_value': 0.5, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
BoW,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 3, 'metric': 'euclidean'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 3, 'metric': 'manhattan'}",-0.2215,
BoW,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 8, 'metric': 'euclidean'}",,cannot unpack non-iterable NoneType object
BoW,dbscan_clustering,"{'eps_value': 0.7, 'min_samples': 8, 'metric': 'manhattan'}",,cannot unpack non-iterable NoneType object
